,CDL_Code,Crop_Name,Likely_Crop_Species,Discussion
22,22,Durum Wheat,['Triticum durum'],"When a field has 'durum wheat' growing in it, the species is most likely Triticum durum. Durum wheat is a hard variety of wheat used to make pasta, couscous, and some types of bread."
23,23,Spring Wheat,['Triticum aestivum'],"When a field has 'spring wheat' growing in it, the species is most likely Triticum aestivum. Spring wheat is planted in the spring and harvested in late summer, primarily used for bread and other baked goods."
24,24,Winter Wheat,['Triticum aestivum'],"When a field has 'winter wheat' growing in it, the species is most likely Triticum aestivum. Winter wheat is planted in the fall, goes dormant over the winter, and is harvested in the spring or early summer. It is used for bread, pasta, and other wheat products."
25,25,Other Small Grains,"['Avena sativa', 'Secale cereale', 'Triticosecale']","When a field has 'other small grains' growing in it, it includes a variety of species such as oats (Avena sativa), rye (Secale cereale), and triticale (× Triticosecale). These grains are used for food, animal feed, and other purposes."
26,26,Dbl Crop WinWht/Soybeans,"['Triticum aestivum', 'Glycine max']","When a field has 'Dbl Crop WinWht/Soybeans' growing in it, the species are most likely Triticum aestivum (winter wheat) and Glycine max (soybeans). Double cropping involves growing two different crops in the same field in one year, usually winter wheat followed by soybeans."
27,27,Rye,['Secale cereale'],"When a field has 'rye' growing in it, the species is most likely Secale cereale. Rye is a cereal grain used for food, animal feed, and as a cover crop."
28,28,Oats,['Avena sativa'],"When a field has 'oats' growing in it, the species is most likely Avena sativa. Oats are grown for their edible seeds, which are used in cereals, animal feed, and various food products."
29,29,Millet,"['Panicum miliaceum', 'Setaria italica']","When a field has 'millet' growing in it, the species are most likely Panicum miliaceum (proso millet) or Setaria italica (foxtail millet). Millets are small-seeded grasses grown for food and animal feed, especially in arid and semi-arid regions."
30,30,Speltz,['Triticum spelta'],"When a field has 'speltz' growing in it, the species is most likely Triticum spelta. Spelt is an ancient grain, a subspecies of wheat, known for its nutty flavor and nutritional benefits."
31,31,Canola,"['Brassica napus', 'Brassica rapa']","When a field has 'canola' growing in it, the species are most likely Brassica napus or Brassica rapa. Canola is grown for its seeds, which are processed into canola oil and meal."
32,32,Flaxseed,['Linum usitatissimum'],"When a field has 'flaxseed' growing in it, the species is most likely Linum usitatissimum. Flaxseed is cultivated for its seeds, which are used to produce flax oil and as a nutritional supplement."
33,33,Safflower,['Carthamus tinctorius'],"When a field has 'safflower' growing in it, the species is most likely Carthamus tinctorius. Safflower is grown for its oil-rich seeds and as a birdseed."
34,34,Rape Seed,['Brassica napus'],"When a field has 'rape seed' growing in it, the species is most likely Brassica napus. Rape seed is cultivated for its oil-rich seeds, used to produce rapeseed oil and meal."
35,35,Mustard,"['Brassica juncea', 'Brassica nigra', 'Brassica alba']","When a field has 'mustard' growing in it, the species are most likely Brassica juncea (brown mustard), Brassica nigra (black mustard), or Brassica alba (white mustard). Mustard is grown for its seeds, used as a spice and in the production of mustard condiments."
36,36,Alfalfa,['Medicago sativa'],"When a field has 'alfalfa' growing in it, the species is most likely Medicago sativa. Alfalfa is a perennial forage crop known for its high nutritional value and use as animal feed."
37,37,Other Hay/Non Alfalfa,['Various species'],"When a field has 'other hay/non alfalfa' growing in it, it includes a variety of forage species such as clover (Trifolium spp.), timothy (Phleum pratense), and orchardgrass (Dactylis glomerata). These forages are used for animal feed."
38,38,Camelina,['Camelina sativa'],"When a field has 'camelina' growing in it, the species is most likely Camelina sativa. Camelina, also known as false flax, is grown for its oil-rich seeds used in biofuel production and as a nutritional supplement."
39,39,Buckwheat,['Fagopyrum esculentum'],"When a field has 'buckwheat' growing in it, the species is most likely Fagopyrum esculentum. Buckwheat is a fast-growing crop cultivated for its seeds, used as a grain substitute and in various food products."
41,41,Sugarbeets,['Beta vulgaris'],"When a field has 'sugarbeets' growing in it, the species is most likely Beta vulgaris. Sugarbeets are grown for their high sugar content, used in the production of sugar and various food products."
42,42,Dry Beans,"['Phaseolus vulgaris', 'Vigna unguiculata']","When a field has 'dry beans' growing in it, the species are most likely Phaseolus vulgaris (common beans) or Vigna unguiculata (cowpeas). These beans are grown for their edible seeds, which are dried and used in various culinary dishes."
43,43,Potatoes,['Solanum tuberosum'],"When a field has 'potatoes' growing in it, the species is most likely Solanum tuberosum. Potatoes are a staple crop grown for their edible tubers, used in a variety of culinary dishes."
44,44,Other Crops,['Various species'],"When a field has 'other crops' growing in it, it includes a wide range of species cultivated for various purposes, including vegetables, fruits, and specialty crops."
45,45,Sugarcane,['Saccharum officinarum'],"When a field has 'sugarcane' growing in it, the species is most likely Saccharum officinarum. Sugarcane is grown for its high sugar content, used in the production of sugar, ethanol, and other products."
46,46,Sweet Potatoes,['Ipomoea batatas'],"When a field has 'sweet potatoes' growing in it, the species is most likely Ipomoea batatas. Sweet potatoes are cultivated for their edible tubers, used in various culinary dishes."
47,47,Misc Vegs & Fruits,['Various species'],"When a field has 'misc vegs & fruits' growing in it, it includes a variety of vegetable and fruit species cultivated for food production."
48,48,Watermelons,['Citrullus lanatus'],"When a field has 'watermelons' growing in it, the species is most likely Citrullus lanatus. Watermelons are cultivated for their large, juicy fruits, which are enjoyed as a refreshing treat."
49,49,Onions,['Allium cepa'],"When a field has 'onions' growing in it, the species is most likely Allium cepa. Onions are a widely cultivated vegetable used in culinary dishes around the world."
50,50,Cucumbers,['Cucumis sativus'],"When a field has 'cucumbers' growing in it, the species is most likely Cucumis sativus. Cucumbers are grown for their edible fruits, used fresh in salads or pickled."
51,51,Chick Peas,['Cicer arietinum'],"When a field has 'chick peas' growing in it, the species is most likely Cicer arietinum. Chickpeas are cultivated for their edible seeds, which are used in a variety of culinary dishes, including hummus and soups."
52,52,Lentils,['Lens culinaris'],"When a field has 'lentils' growing in it, the species is most likely Lens culinaris. Lentils are grown for their edible seeds, which are used in soups, stews, and other culinary dishes."
53,53,Peas,['Pisum sativum'],"When a field has 'peas' growing in it, the species is most likely Pisum sativum. Peas are grown for their edible seeds, which can be eaten fresh, frozen, or dried."
54,54,Tomatoes,['Solanum lycopersicum'],"When a field has 'tomatoes' growing in it, the species is most likely Solanum lycopersicum. Tomatoes are widely cultivated for their edible fruits, used in a variety of culinary dishes."
55,55,Caneberries,['Rubus spp.'],"When a field has 'caneberries' growing in it, the species are most likely various Rubus species, including blackberries and raspberries. Caneberries are grown for their edible fruits, enjoyed fresh or used in jams and desserts."
56,56,Hops,['Humulus lupulus'],"When a field has 'hops' growing in it, the species is most likely Humulus lupulus. Hops are cultivated for their flowers, which are used as a bittering, flavoring, and stability agent in beer production."
57,57,Herbs,['Various species'],"When a field has 'herbs' growing in it, it includes a variety of species such as basil (Ocimum basilicum), parsley (Petroselinum crispum), and thyme (Thymus vulgaris). Herbs are grown for their aromatic leaves, used in culinary, medicinal, and cosmetic products."
66,66,Cherries,"['Prunus avium', 'Prunus cerasus']","When a field has 'cherries' growing in it, the species are most likely Prunus avium (sweet cherries) or Prunus cerasus (sour cherries). Cherries are grown for their edible fruits, enjoyed fresh or used in various culinary dishes."
67,67,Peaches,['Prunus persica'],"When a field has 'peaches' growing in it, the species is most likely Prunus persica. Peaches are cultivated for their juicy, sweet fruits, enjoyed fresh or used in various culinary dishes."
68,68,Apples,['Malus domestica'],"When a field has 'apples' growing in it, the species is most likely Malus domestica. Apples are one of the most widely cultivated tree fruits, enjoyed fresh or used in various culinary dishes and beverages."
69,69,Grapes,['Vitis vinifera'],"When a field has 'grapes' growing in it, the species is most likely Vitis vinifera. Grapes are cultivated for their edible fruits, used fresh, dried (as raisins), or in winemaking."
70,70,Christmas Trees,['Various species'],"When a field has 'christmas trees' growing in it, it includes a variety of coniferous tree species such as fir (Abies spp.), spruce (Picea spp.), and pine (Pinus spp.). These trees are grown for use as Christmas decorations."
71,71,Other Tree Crops,['Various species'],"When a field has 'other tree crops' growing in it, it includes a variety of tree species cultivated for their fruits, nuts, or other products."
72,72,Citrus,"['Citrus sinensis', 'Citrus limon', 'Citrus reticulata', 'Citrus paradisi']","When a field has 'citrus' growing in it, the species are most likely Citrus sinensis (sweet oranges), Citrus limon (lemons), Citrus reticulata (mandarins), or Citrus paradisi (grapefruits). Citrus fruits are enjoyed fresh or used in various culinary and beverage products."
74,74,Pecans,['Carya illinoinensis'],"When a field has 'pecans' growing in it, the species is most likely Carya illinoinensis. Pecans are cultivated for their edible nuts, enjoyed fresh or used in various culinary dishes and confections."
75,75,Almonds,['Prunus dulcis'],"When a field has 'almonds' growing in it, the species is most likely Prunus dulcis. Almonds are grown for their edible seeds, enjoyed fresh or used in various culinary dishes and confections."
76,76,Walnuts,['Juglans regia'],"When a field has 'walnuts' growing in it, the species is most likely Juglans regia. Walnuts are cultivated for their edible nuts, enjoyed fresh or used in various culinary dishes and confections."
77,77,Pears,['Pyrus communis'],"When a field has 'pears' growing in it, the species is most likely Pyrus communis. Pears are cultivated for their sweet, juicy fruits, enjoyed fresh or used in various culinary dishes."
204,204,Pistachios,['Pistacia vera'],"When a field has 'pistachios' growing in it, the species is most likely Pistacia vera. Pistachios are grown for their edible nuts, enjoyed fresh or used in various culinary dishes and confections."
205,205,Triticale,['× Triticosecale'],"When a field has 'triticale' growing in it, the species is most likely × Triticosecale. Triticale is a hybrid of wheat (Triticum) and rye (Secale), grown for its grain and forage."
206,206,Carrots,['Daucus carota'],"When a field has 'carrots' growing in it, the species is most likely Daucus carota. Carrots are grown for their edible taproots, used in a variety of culinary dishes."
207,207,Asparagus,['Asparagus officinalis'],"When a field has 'asparagus' growing in it, the species is most likely Asparagus officinalis. Asparagus is cultivated for its edible shoots, enjoyed fresh or used in various culinary dishes."
208,208,Garlic,['Allium sativum'],"When a field has 'garlic' growing in it, the species is most likely Allium sativum. Garlic is cultivated for its edible bulbs, used as a flavoring in various culinary dishes."
209,209,Cantaloupes,['Cucumis melo'],"When a field has 'cantaloupes' growing in it, the species is most likely Cucumis melo. Cantaloupes are cultivated for their sweet, fragrant fruits, enjoyed fresh or used in various culinary dishes."
210,210,Prunes,['Prunus domestica'],"When a field has 'prunes' growing in it, the species is most likely Prunus domestica. Prunes are dried plums, enjoyed as a snack or used in various culinary dishes."
211,211,Olives,['Olea europaea'],"When a field has 'olives' growing in it, the species is most likely Olea europaea. Olives are cultivated for their edible fruits, enjoyed fresh, cured, or used to produce olive oil."
212,212,Oranges,['Citrus sinensis'],"When a field has 'oranges' growing in it, the species is most likely Citrus sinensis. Oranges are cultivated for their sweet, juicy fruits, enjoyed fresh or used in various culinary and beverage products."
213,213,Honeydew Melons,['Cucumis melo'],"When a field has 'honeydew melons' growing in it, the species is most likely Cucumis melo. Honeydew melons are cultivated for their sweet, juicy fruits, enjoyed fresh or used in various culinary dishes."
214,214,Broccoli,['Brassica oleracea var. italica'],"When a field has 'broccoli' growing in it, the species is most likely Brassica oleracea var. italica. Broccoli is cultivated for its edible flower heads, used in a variety of culinary dishes."
215,215,Avocados,['Persea americana'],"When a field has 'avocados' growing in it, the species is most likely Persea americana. Avocados are cultivated for their creamy, nutrient-rich fruits, enjoyed fresh or used in various culinary dishes."
216,216,Peppers,"['Capsicum annuum', 'Capsicum frutescens', 'Capsicum chinense']","When a field has 'peppers' growing in it, the species are most likely Capsicum annuum, Capsicum frutescens, or Capsicum chinense. Peppers are cultivated for their edible fruits, used fresh or dried in various culinary dishes."
217,217,Pomegranates,['Punica granatum'],"When a field has 'pomegranates' growing in it, the species is most likely Punica granatum. Pomegranates are cultivated for their edible fruits, known for their juicy, flavorful arils."
218,218,Nectarines,['Prunus persica var. nucipersica'],"When a field has 'nectarines' growing in it, the species is most likely Prunus persica var. nucipersica. Nectarines are a smooth-skinned variety of peach, enjoyed fresh or used in various culinary dishes."
219,219,Greens,['Various species'],"When a field has 'greens' growing in it, it includes a variety of leafy vegetable species such as spinach (Spinacia oleracea), kale (Brassica oleracea var. sabellica), and collards (Brassica oleracea var. viridis). Greens are cultivated for their edible leaves, used in a variety of culinary dishes."
220,220,Plums,['Prunus domestica'],"When a field has 'plums' growing in it, the species is most likely Prunus domestica. Plums are cultivated for their sweet, juicy fruits, enjoyed fresh or used in various culinary dishes and desserts."
221,221,Strawberries,['Fragaria × ananassa'],"When a field has 'strawberries' growing in it, the species is most likely Fragaria × ananassa. Strawberries are cultivated for their sweet, juicy fruits, enjoyed fresh or used in various culinary dishes and desserts."
222,222,Squash,"['Cucurbita pepo', 'Cucurbita moschata', 'Cucurbita maxima']","When a field has 'squash' growing in it, the species are most likely Cucurbita pepo (summer squash, zucchini), Cucurbita moschata (butternut squash), or Cucurbita maxima (winter squash, pumpkins). Squash is cultivated for its edible fruits, used in a variety of culinary dishes."
223,223,Apricots,['Prunus armeniaca'],"When a field has 'apricots' growing in it, the species is most likely Prunus armeniaca. Apricots are cultivated for their sweet, juicy fruits, enjoyed fresh or used in various culinary dishes and desserts."
224,224,Vetch,"['Vicia sativa', 'Vicia villosa']","When a field has 'vetch' growing in it, the species are most likely Vicia sativa (common vetch) or Vicia villosa (hairy vetch). Vetch is cultivated as a cover crop, forage, and green manure."
225,225,Dbl Crop WinWht/Corn,"['Triticum aestivum', 'Zea mays']","When a field has 'Dbl Crop WinWht/Corn' growing in it, the species are most likely Triticum aestivum (winter wheat) and Zea mays (corn). Double cropping involves growing two different crops in the same field in one year, usually winter wheat followed by corn."
226,226,Dbl Crop Oats/Corn,"['Avena sativa', 'Zea mays']","When a field has 'Dbl Crop Oats/Corn' growing in it, the species are most likely Avena sativa (oats) and Zea mays (corn). Double cropping involves growing two different crops in the same field in one year, usually oats followed by corn."
227,227,Lettuce,['Lactuca sativa'],"When a field has 'lettuce' growing in it, the species is most likely Lactuca sativa. Lettuce is cultivated for its edible leaves, used fresh in salads and various culinary dishes."
228,228,Dbl Crop Triticale/Corn,"['× Triticosecale', 'Zea mays']","When a field has 'Dbl Crop Triticale/Corn' growing in it, the species are most likely × Triticosecale (triticale) and Zea mays (corn). Double cropping involves growing two different crops in the same field in one year, usually triticale followed by corn."
229,229,Pumpkins,"['Cucurbita pepo', 'Cucurbita moschata', 'Cucurbita maxima']","When a field has 'pumpkins' growing in it, the species are most likely Cucurbita pepo, Cucurbita moschata, or Cucurbita maxima. Pumpkins are cultivated for their edible fruits, used in a variety of culinary dishes and as decorations."
230,230,Dbl Crop Lettuce/Durum Wht,"['Lactuca sativa', 'Triticum durum']","When a field has 'Dbl Crop Lettuce/Durum Wht' growing in it, the species are most likely Lactuca sativa (lettuce) and Triticum durum (durum wheat). Double cropping involves growing two different crops in the same field in one year, usually lettuce followed by durum wheat."
231,231,Dbl Crop Lettuce/Cantaloupe,"['Lactuca sativa', 'Cucumis melo']","When a field has 'Dbl Crop Lettuce/Cantaloupe' growing in it, the species are most likely Lactuca sativa (lettuce) and Cucumis melo (cantaloupe). Double cropping involves growing two different crops in the same field in one year, usually lettuce followed by cantaloupe."
232,232,Dbl Crop Lettuce/Cotton,"['Lactuca sativa', 'Gossypium hirsutum']","When a field has 'Dbl Crop Lettuce/Cotton' growing in it, the species are most likely Lactuca sativa (lettuce) and Gossypium hirsutum (cotton). Double cropping involves growing two different crops in the same field in one year, usually lettuce followed by cotton."
233,233,Dbl Crop Lettuce/Barley,"['Lactuca sativa', 'Hordeum vulgare']","When a field has 'Dbl Crop Lettuce/Barley' growing in it, the species are most likely Lactuca sativa (lettuce) and Hordeum vulgare (barley). Double cropping involves growing two different crops in the same field in one year, usually lettuce followed by barley."
234,234,Dbl Crop Durum Wht/Sorghum,"['Triticum durum', 'Sorghum bicolor']","When a field has 'Dbl Crop Durum Wht/Sorghum' growing in it, the species are most likely Triticum durum (durum wheat) and Sorghum bicolor (sorghum). Double cropping involves growing two different crops in the same field in one year, usually durum wheat followed by sorghum."
235,235,Dbl Crop Barley/Sorghum,"['Hordeum vulgare', 'Sorghum bicolor']","When a field has 'Dbl Crop Barley/Sorghum' growing in it, the species are most likely Hordeum vulgare (barley) and Sorghum bicolor (sorghum). Double cropping involves growing two different crops in the same field in one year, usually barley followed by sorghum."
236,236,Dbl Crop WinWht/Sorghum,"['Triticum aestivum', 'Sorghum bicolor']","When a field has 'Dbl Crop WinWht/Sorghum' growing in it, the species are most likely Triticum aestivum (winter wheat) and Sorghum bicolor (sorghum). Double cropping involves growing two different crops in the same field in one year, usually winter wheat followed by sorghum."
237,237,Dbl Crop Barley/Corn,"['Hordeum vulgare', 'Zea mays']","When a field has 'Dbl Crop Barley/Corn' growing in it, the species are most likely Hordeum vulgare (barley) and Zea mays (corn). Double cropping involves growing two different crops in the same field in one year, usually barley followed by corn."
238,238,Dbl Crop WinWht/Cotton,"['Triticum aestivum', 'Gossypium hirsutum']","When a field has 'Dbl Crop WinWht/Cotton' growing in it, the species are most likely Triticum aestivum (winter wheat) and Gossypium hirsutum (cotton). Double cropping involves growing two different crops in the same field in one year, usually winter wheat followed by cotton."
239,239,Dbl Crop Soybeans/Cotton,"['Glycine max', 'Gossypium hirsutum']","When a field has 'Dbl Crop Soybeans/Cotton' growing in it, the species are most likely Glycine max (soybeans) and Gossypium hirsutum (cotton). Double cropping involves growing two different crops in the same field in one year, usually soybeans followed by cotton."
240,240,Dbl Crop Soybeans/Oats,"['Glycine max', 'Avena sativa']","When a field has 'Dbl Crop Soybeans/Oats' growing in it, the species are most likely Glycine max (soybeans) and Avena sativa (oats). Double cropping involves growing two different crops in the same field in one year, usually soybeans followed by oats."
241,241,Dbl Crop Corn/Soybeans,"['Zea mays', 'Glycine max']","When a field has 'Dbl Crop Corn/Soybeans' growing in it, the species are most likely Zea mays (corn) and Glycine max (soybeans). Double cropping involves growing two different crops in the same field in one year, usually corn followed by soybeans."
242,242,Blueberries,['Vaccinium corymbosum'],"When a field has 'blueberries' growing in it, the species is most likely Vaccinium corymbosum. Blueberries are cultivated for their sweet, nutrient-rich fruits, enjoyed fresh or used in various culinary dishes and desserts."
243,243,Cabbage,['Brassica oleracea var. capitata'],"When a field has 'cabbage' growing in it, the species is most likely Brassica oleracea var. capitata. Cabbage is cultivated for its dense, leafy heads, used in a variety of culinary dishes."
244,244,Cauliflower,['Brassica oleracea var. botrytis'],"When a field has 'cauliflower' growing in it, the species is most likely Brassica oleracea var. botrytis. Cauliflower is cultivated for its edible flower heads, used in a variety of culinary dishes."
245,245,Celery,['Apium graveolens'],"When a field has 'celery' growing in it, the species is most likely Apium graveolens. Celery is cultivated for its edible stalks and leaves, used in a variety of culinary dishes."
246,246,Radishes,['Raphanus sativus'],"When a field has 'radishes' growing in it, the species is most likely Raphanus sativus. Radishes are cultivated for their edible roots, used fresh in salads and various culinary dishes."
247,247,Turnips,['Brassica rapa subsp. rapa'],"When a field has 'turnips' growing in it, the species is most likely Brassica rapa subsp. rapa. Turnips are cultivated for their edible roots and greens, used in a variety of culinary dishes."
248,248,Eggplants,['Solanum melongena'],"When a field has 'eggplants' growing in it, the species is most likely Solanum melongena. Eggplants are cultivated for their edible fruits, used in a variety of culinary dishes."
249,249,Gourds,"['Cucurbita pepo', 'Lagenaria siceraria']","When a field has 'gourds' growing in it, the species are most likely Cucurbita pepo or Lagenaria siceraria. Gourds are cultivated for their ornamental fruits, used as decorations or in crafts."
250,250,Cranberries,['Vaccinium macrocarpon'],"When a field has 'cranberries' growing in it, the species is most likely Vaccinium macrocarpon. Cranberries are cultivated for their tart, nutrient-rich fruits, used in a variety of culinary dishes and beverages."
254,254,Dbl Crop Barley/Soybeans,"['Hordeum vulgare', 'Glycine max']","When a field has 'Dbl Crop Barley/Soybeans' growing in it, the species are most likely Hordeum vulgare (barley) and Glycine max (soybeans). Double cropping involves growing two different crops in the same field in one year, usually barley followed by soybeans."
