,Unnamed: 0.1,Unnamed: 0,EcoPortCode,ScientificName,AUTH,FAMNAME,SYNO,COMNAME,LIFO,HABI,LISPA,PHYS,CAT,PLAT,TOPMN,TOPMX,TMIN,TMAX,ROPMN,ROPMX,RMIN,RMAX,PHOPMN,PHOPMX,PHMIN,PHMAX,LATOPMN,LATOPMX,LATMN,LATMX,ALTMX,LIOPMN,LIOPMX,LIMN,LIMX,DEP,DEPR,TEXT,TEXTR,FER,FERR,TOX,TOXR,SAL,SALR,DRA,DRAR,KTMPR,KTMP,PHOTO,CLIZ,ABITOL,ABISUS,INTRI,PROSY,GMIN,GMAX,Genus,Species,Variety,PFAF_URL,USDA_HARDINESS_ZONE,USDA_HARDINESS_ZONE_MIN,USDA_HARDINESS_ZONE_MAX
10,10,10,331,Agathis macrophylla,(Lindl.) Mast.,Pinopsida:Araucariaceae,,"kauri, kauri pine",tree,erect,perennial,"evergreen, single stem",environmental,harvested from wild,22.0,32.0,10.0,40.0,4000.0,5000.0,2000.0,7000.0,4.5,6.0,4.0,6.5,,,,,480.0,very bright,clear skies,very bright,light shade,deep (>>150 cm),medium (50-150 cm),"heavy, medium","heavy, medium, light",moderate,,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),,,short day (<12 hours),tropical wet (Ar),,,,,300.0,365.0,Agathis,macrophylla,,https://pfaf.org/user/Plant.aspx?LatinName=Agathis+macrophylla,10-12,10,12
11,11,11,333,Agathis robusta,(F.J. Muell.) F.M. Bailey,Pinopsida:Araucariaceae,,South Queensland kauri,tree,erect,perennial,"evergreen, single stem",forest/wood,harvested from wild,18.0,30.0,6.0,38.0,1500.0,3000.0,900.0,5000.0,5.5,7.0,4.2,8.1,15.0,15.0,27.0,27.0,900.0,very bright,clear skies,very bright,cloudy skies,deep (>>150 cm),shallow (20-50 cm),"medium, light","heavy, medium, light",moderate,low,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),"well (dry spells), excessive (dry/moderately dry)",-2.0,0.0,short day (<12 hours),"tropical wet & dry (Aw), subtropical humid (Cf)",,,,,210.0,300.0,Agathis,robusta,,https://pfaf.org/user/Plant.aspx?LatinName=Agathis+robusta,8-11,8,11
12,12,12,339,Agave sisalana,Perrine ex Engelm.,Liliopsida:Liliidae:Asparagales:Agavaceae,Agave rigida var. sisalana Engelmann,"sisal hemp, Bahama hemp, dali, agave, sisal., ndali, natali (Fiji)",herb,"erect, acaulescent (or rosette plants)",perennial,"evergreen, single stem","materials, environmental",grown on large scale,15.0,27.0,10.0,45.0,900.0,1250.0,500.0,1800.0,6.0,7.5,5.5,8.0,10.0,10.0,25.0,25.0,2000.0,very bright,clear skies,very bright,cloudy skies,medium (50-150 cm),shallow (20-50 cm),"medium, light","heavy, medium, light",moderate,low,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),"well (dry spells), excessive (dry/moderately dry)",-5.0,-5.0,short day (<12 hours),"tropical wet & dry (Aw), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)",,,,,150.0,270.0,Agave,sisalana,,https://pfaf.org/user/Plant.aspx?LatinName=Agave+sisalana,9-11,9,11
13,13,13,347,Albizia falcataria,(L.) Fosb.,Magnoliopsida:Rosidae:Fabales:Leguminosae,Albizia moluccana,,tree,erect,perennial,"deciduous, single stem","materials, forest/wood, environmental",grown on small scale,22.0,31.0,17.0,40.0,2000.0,4000.0,1000.0,5500.0,5.5,7.3,4.5,8.5,,,5.0,10.0,2000.0,very bright,clear skies,very bright,cloudy skies,deep (>>150 cm),medium (50-150 cm),"heavy, medium","heavy, medium, light",moderate,low,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),,,short day (<12 hours),"tropical wet & dry (Aw), tropical wet (Ar)",,,,,270.0,365.0,Albizia,falcataria,,https://pfaf.org/user/Plant.aspx?LatinName=Albizia+falcataria,,,
14,14,14,349,Albizia lebbeck,(L.) Benth.,Magnoliopsida:Rosidae:Fabales:Leguminosae,"Acacia lebbeck (L.) Willd., Acacia speciosa (Jacq.) Willd., Albizia latifolia Boivin, Mimosa lebbeck L., Mimosa sirissa Roxb.","lebbek tree, siris-tree, rain tree, East Indian walnut, woman's-tongue tree, woman's tongue tree, chatterbox tree, kokko, bois noir, cha-cha, langue de vieille femme, ébénier d'orient, acacia de lebbek, albizia, acacia siras, coracao de negro, pau-negro, ebano oriental",tree,erect,perennial,"deciduous, single stem","forage/pasture, materials, ornamentals/turf, medicinals & aromatic, forest/wood, environmental",grown on large scale,26.0,36.0,12.0,48.0,600.0,2000.0,500.0,2500.0,6.0,7.0,5.5,8.5,11.0,11.0,27.0,27.0,1600.0,very bright,clear skies,very bright,cloudy skies,deep (>>150 cm),medium (50-150 cm),medium,"heavy, medium, light",low,low,,,low (<4 dS/m),medium (4-10 dS/m),well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",,,short day (<12 hours),"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical humid (Cf)",,,,,180.0,300.0,Albizia,lebbeck,,https://pfaf.org/user/Plant.aspx?LatinName=Albizia+lebbeck,10-11,10,11
15,15,15,350,Albizia procera,(Roxb.) Benth.,Magnoliopsida:Rosidae:Fabales:Leguminosae,"Acacia procera (Roxb.) Willd., Albizia procera (Roxb.) Benth var. elata (Roxb.) Bak., Albizia procera (Roxb.) Benth. var. roxburghiana Fournier, Mimosa elata Roxb., Mimosa procera Roxb.",,tree,erect,perennial,"deciduous, single stem","materials, forest/wood, environmental",grown on small scale,20.0,33.0,10.0,45.0,1500.0,2500.0,780.0,5100.0,5.5,6.5,5.0,7.5,,,20.0,20.0,1200.0,very bright,very bright,very bright,light shade,medium (50-150 cm),shallow (20-50 cm),medium,"heavy, medium, light",moderate,low,,,low (<4 dS/m),low (<4 dS/m),"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",,,short day (<12 hours),tropical wet & dry (Aw),,,can become a weed,,150.0,270.0,Albizia,procera,,https://pfaf.org/user/Plant.aspx?LatinName=Albizia+procera,10-12,10,12
16,16,16,352,Albizia stipulata,(Roxb.) H.L. Boivin,Magnoliopsida:Rosidae:Fabales:Leguminosae,,tamalini,tree,erect,perennial,"deciduous, single stem","forest/wood, environmental",,22.0,34.0,4.0,43.0,2000.0,2400.0,1100.0,5000.0,5.5,6.5,5.0,7.5,20.0,20.0,30.0,30.0,1300.0,very bright,cloudy skies,very bright,light shade,deep (>>150 cm),medium (50-150 cm),medium,"medium, light",high,moderate,,,low (<4 dS/m),low (<4 dS/m),"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",-1.0,-1.0,short day (<12 hours),tropical wet & dry (Aw),,,,,210.0,300.0,Albizia,stipulata,,https://pfaf.org/user/Plant.aspx?LatinName=Albizia+stipulata,,,
17,17,17,353,Aleurites fordii,,Magnoliopsida:Dilleniidae:Euphorbiales:Euphorbiaceae,Vernicia fondii,,tree,erect,perennial,"deciduous, single stem","materials, environmental",,17.0,22.0,10.0,28.0,1000.0,1200.0,750.0,1400.0,6.0,7.0,5.3,7.5,29.0,29.0,32.0,32.0,1000.0,very bright,clear skies,very bright,cloudy skies,medium (50-150 cm),shallow (20-50 cm),medium,medium,high,moderate,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),,,short day (<12 hours),subtropical dry summer (Cs),,wind,,,240.0,300.0,Aleurites,fordii,,https://pfaf.org/user/Plant.aspx?LatinName=Aleurites+fordii,8-10,8,10
18,18,18,354,Aleurites moluccana,(L)Willd,Magnoliopsida:Dilleniidae:Euphorbiales:Euphorbiaceae,"Aleurites triloba Forst., Croton moluccanus L.","candlenut, tuitui (Tonga), lama, Candle nut",tree,erect,perennial,single stem,materials,grown on small scale,18.0,28.0,14.0,32.0,1000.0,1800.0,600.0,4300.0,5.0,8.0,4.3,8.5,,,20.0,30.0,1200.0,very bright,very bright,very bright,clear skies,medium (50-150 cm),shallow (20-50 cm),medium,medium,high,moderate,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),,,short day (<12 hours),"tropical wet & dry (Aw), subtropical humid (Cf), subtropical dry summer (Cs)",,,,,240.0,365.0,Aleurites,moluccana,,https://pfaf.org/user/Plant.aspx?LatinName=Aleurites+moluccana,,,
19,19,19,355,Aleurites montana,,Magnoliopsida:Dilleniidae:Euphorbiales:Euphorbiaceae,,,tree,erect,perennial,"deciduous, single stem","materials, environmental",grown on small scale,25.0,30.0,18.0,34.0,1500.0,2100.0,1000.0,2500.0,5.0,6.5,4.5,7.0,10.0,10.0,35.0,35.0,1800.0,clear skies,cloudy skies,very bright,cloudy skies,medium (50-150 cm),shallow (20-50 cm),"heavy, medium, light","heavy, medium, light",moderate,low,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),"well (dry spells), excessive (dry/moderately dry)",,,short day (<12 hours),"tropical wet & dry (Aw), subtropical dry summer (Cs)",,,,,240.0,300.0,Aleurites,montana,,https://pfaf.org/user/Plant.aspx?LatinName=Aleurites+montana,,,
20,20,20,363,Allium ampeloprasum,L.,Liliopsida:Liliidae:Asparagales:Alliaceae,,"wild leek, vine leek, Levant garlic, alho porro bravo, liiki",herb,erect,"annual, biennial",single stem,vegetables,grown on large scale,18.0,24.0,6.0,27.0,750.0,1000.0,350.0,2800.0,6.0,6.5,4.5,7.5,,,60.0,60.0,1000.0,clear skies,clear skies,very bright,cloudy skies,medium (50-150 cm),shallow (20-50 cm),"medium, organic","heavy, medium, light",high,low,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),-5.0,-5.0,long day (>14 hours),"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",,,,,120.0,150.0,Allium,ampeloprasum,,https://pfaf.org/user/Plant.aspx?LatinName=Allium+ampeloprasum,5-9,5,9
21,21,21,364,Allium cepa,L.,Liliopsida:Liliidae:Asparagales:Alliaceae,"Allium ascalonicum L., Cepa rotunda Dod., Allium esculentum Salisb., Allium porrum cepa Rehb.","onion, potato onion, shallot, echalote, oignon, cebolla, basal, cebola, cipolla, Zwiebel, Küchenzwiebel, lök, rödlök, løg, rødløg, kepaløk, ruokasipuli, ui, ajuin, mózespecsenye, zsidószalonna, hagyma, vöröshagyma, zöldhagyma, újhagyma (green onion), cibule, ceba, cepo, sercajo, spritajo, uinnean, Bulbus Allii Cepae, uie, luk, cebula jadalna, sogan, pias, kremmídi, laukur, yang-ts'ung, chung, cong, ts'ung, chung tau, ts'ung tau, yang ts'ung, tamanegi, atasuki, wakegi, kalik, piaz, piyaz, varosa, key shinkurt, ponoru, pianj, kesunni, kyet-thun-ni, harili sibul, dungari, yarok, batzal, bawang merah, bawang daun, daun bawang (green leaf), nirulli, khtim slek, khtim kraham, phak bouo, bawang daun (green leaf), ulli, kanda, piaja, ayun, peyaz, ceapã, palandu, lunu, kitunguu, sibuyas, irulli, vengayam, ton hom, hua hom, hanh, lasóna",herb,erect,biennial,,"vegetables, medicinals & aromatic",grown on large scale,12.0,25.0,4.0,30.0,350.0,600.0,300.0,2800.0,6.0,7.0,4.3,8.3,,,60.0,60.0,2000.0,clear skies,clear skies,cloudy skies,very bright,medium (50-150 cm),shallow (20-50 cm),"medium, organic","wide, organic",moderate,low,,,low (<4 dS/m),medium (4-10 dS/m),well (dry spells),well (dry spells),,,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",,,,"home garden, large scale/commercial",85.0,175.0,Allium,cepa,,https://pfaf.org/user/Plant.aspx?LatinName=Allium+cepa,4-10,4,10
22,22,22,365,Allium fistulosum,L.,Liliopsida:Liliidae:Asparagales:Alliaceae,,"branching onion, Spanish onion, Japanese bunching onion, chibol, Spring onion, stone leek, Japanese leek, Welsh onion, ceboleta de Espanha",herb,erect,"annual, perennial",,vegetables,grown on large scale,12.0,25.0,6.0,30.0,850.0,1600.0,700.0,2500.0,6.6,7.4,5.5,8.5,,,60.0,60.0,2000.0,clear skies,clear skies,very bright,cloudy skies,medium (50-150 cm),shallow (20-50 cm),"medium, organic","heavy, medium, light",high,low,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),,,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), temperate oceanic (Do), temperate continental (Dc)",,,,,60.0,160.0,Allium,fistulosum,,https://pfaf.org/user/Plant.aspx?LatinName=Allium+fistulosum,5-9,5,9
23,23,23,367,Allium sativum,L.,Liliopsida:Liliidae:Asparagales:Alliaceae,Porrum sativum Reh.,"garlic, cultivated garlic, ail, aglio, ajo, kaliki, Knoblauch, vitlök, hvidløg, thum, knoflook, alho, alho de cultura, chesnok, ninniku, suan, Bulbus Allii Sativi, garlic oil",herb,erect,biennial,single stem,"vegetables, medicinals & aromatic",grown on large scale,18.0,30.0,7.0,35.0,750.0,1600.0,500.0,2700.0,6.0,6.6,5.0,8.5,,,60.0,60.0,2200.0,clear skies,clear skies,very bright,cloudy skies,medium (50-150 cm),shallow (20-50 cm),"medium, light","heavy, medium, light",high,low,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),-5.0,-5.0,long day (>14 hours),"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",,humidity,,"home garden, large scale/commercial",90.0,120.0,Allium,sativum,,https://pfaf.org/user/Plant.aspx?LatinName=Allium+sativum,7-10,7,10
24,24,24,379,Alstonia scholaris,(L.) R. Br.,Magnoliopsida:Asteridae:Gentianales:Apocynaceae,Echites scholaris,"devil's tree, white cheesewood tree, alstonia, dita bark tree, Australian fever bark tree, Australian quinine bark tree, bitter-bark tree, blackboard tree, chatiyan wood, shaitan, chattun, chatian, chhatiwan, chatiwan, tin pet, dita, khaaniqat al-kalab, shajaratah fi asya al-harrah, scholarsi, may màn, mò cua, mùa cua, co tin pát, palai, pasuit, phaya sattaban, sattaban, polai, sachina, satavan, satuna, alipauen, dalipauen, lava, lipauen, dirita, tanitan, tangitang, andarayan, voplai, chatina (santal), saptaparni (kandha), dubedi (kandha)",tree,erect,perennial,"evergreen, single stem","materials, ornamentals/turf, medicinals & aromatic, forest/wood",grown on small scale,22.0,28.0,12.0,36.0,1200.0,3000.0,1100.0,3800.0,5.5,6.5,4.5,7.5,5.0,,15.0,21.5,1000.0,very bright,very bright,very bright,clear skies,deep (>>150 cm),shallow (20-50 cm),medium,"heavy, medium, light",moderate,low,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),"poorly (saturated >50% of year), well (dry spells)",,,short day (<12 hours),"tropical wet & dry (Aw), tropical wet (Ar)",,,,,300.0,365.0,Alstonia,scholaris,,https://pfaf.org/user/Plant.aspx?LatinName=Alstonia+scholaris,,,
25,25,25,390,Amaranthus cruentus,L.,Magnoliopsida:Caryophyllidae:Caryophyllales:Amaranthaceae,Amaranthus paniculatus,"whitespot, giant arum, purple amaranth",herb,erect,annual,,"cereals & pseudocereals, forage/pasture, vegetables",grown on small scale,22.0,28.0,10.0,45.0,2000.0,2400.0,500.0,4000.0,5.5,7.0,4.3,7.5,,,20.0,40.0,1200.0,very bright,very bright,very bright,cloudy skies,medium (50-150 cm),shallow (20-50 cm),"heavy, medium, light, organic","heavy, medium, light",high,moderate,,,low (<4 dS/m),medium (4-10 dS/m),well (dry spells),well (dry spells),4.0,0.0,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)",,,,"home garden, small scale (manual)",30.0,300.0,Amaranthus,cruentus,,https://pfaf.org/user/Plant.aspx?LatinName=Amaranthus+cruentus,3-11,3,11
